Work No,Measurement date,Standing_Water_level (m),Easting,Longitude,Latitude,Northing
GW022280,26/02/1996,1.6,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,25/02/1998,2.74,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,25/01/1998,2.57,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,24/09/1994,1.27,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,24/09/1993,0.43,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,24/07/1998,2.41,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,24/03/1997,2.06,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,23/12/1994,2.03,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,23/08/1995,1.22,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,23/04/1994,1.5,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,23/02/1995,2.41,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,27/09/1997,1.57,"602,497",148.1184,-34.6476,"6,165,465"
GW022280,4/05/1997,2.18,"602,497",148.1184,-34.6476,"6,165,465"
